Name [EN],Type,BP Name,Force Spawn Command (Full Patch)
High Noon Hat,Head,Armor_Head_Gunslinger_C,summon /Game/World_Base/Items/Armor/Archetype/Gunslinger/Armor_Head_Gunslinger.Armor_Head_Gunslinger_C
High Noon Soles,Legs,Armor_Legs_Gunslinger_C,summon /Game/World_Base/Items/Armor/Archetype/Gunslinger/Armor_Legs_Gunslinger.Armor_Legs_Gunslinger_C
Dendroid Chest,Body,Armor_Body_Invader_C,summon /Game/World_Base/Items/Armor/Archetype/Invader/Armor_Body_Invader.Armor_Body_Invader_C
Dendroid Grips,Gloves,Armor_Gloves_Invader_C,summon /Game/World_Base/Items/Armor/Archetype/Invader/Armor_Gloves_Invader.Armor_Gloves_Invader_C
Dendroid Mask,Head,Armor_Head_Invader_C,summon /Game/World_Base/Items/Armor/Archetype/Invader/Armor_Head_Invader.Armor_Head_Invader_C
Dendroid Leggings,Legs,Armor_Legs_Invader_C,summon /Game/World_Base/Items/Armor/Archetype/Invader/Armor_Legs_Invader.Armor_Legs_Invader_C
Knotted Cage,Body,Armor_Body_summoner_C,summon /Game/World_Base/Items/Armor/Archetype/summoner/Armor_Body_summoner.Armor_Body_summoner_C
Knotted Gloves,Gloves,Armor_Gloves_summoner_C,summon /Game/World_Base/Items/Armor/Archetype/summoner/Armor_Gloves_summoner.Armor_Gloves_summoner_C
Knotted Helm,Head,Armor_Head_summoner_C,summon /Game/World_Base/Items/Armor/Archetype/summoner/Armor_Head_summoner.Armor_Head_summoner_C
Knotted Greaves,Legs,Armor_Legs_summoner_C,summon /Game/World_Base/Items/Armor/Archetype/summoner/Armor_Legs_summoner.Armor_Legs_summoner_C
Bruiser Bodyplate,Body,Armor_Body_Challenger_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Challenger/Armor_Body_Challenger.Armor_Body_Challenger_C
Bruiser Gloves,Gloves,Armor_Gloves_Challenger_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Challenger/Armor_Gloves_Challenger.Armor_Gloves_Challenger_C
Bruiser Helmet,Head,Armor_Head_Challenger_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Challenger/Armor_Head_Challenger.Armor_Head_Challenger_C
Bruiser Boots,Legs,Armor_Legs_Challenger_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Challenger/Armor_Legs_Challenger.Armor_Legs_Challenger_C
Trainer Clothes,Body,Armor_Body_Handler_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Handler/Armor_Body_Handler.Armor_Body_Handler_C
Trainer Bracer,Gloves,Armor_Gloves_Handler_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Handler/Armor_Gloves_Handler.Armor_Gloves_Handler_C
Trainer Cap,Head,Armor_Head_Handler_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Handler/Armor_Head_Handler.Armor_Head_Handler_C
Trainer Workboots,Legs,Armor_Legs_Handler_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Handler/Armor_Legs_Handler.Armor_Legs_Handler_C
Nightstalker Garb,Body,Armor_Body_Hunter_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Hunter/Armor_Body_Hunter.Armor_Body_Hunter_C
Nightstalker Gloves,Gloves,Armor_Gloves_Hunter_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Hunter/Armor_Gloves_Hunter.Armor_Gloves_Hunter_C
Nightstalker Shroud,Head,Armor_Head_Hunter_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Hunter/Armor_Head_Hunter.Armor_Head_Hunter_C
Nightstalker Pants,Legs,Armor_Legs_Hunter_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Hunter/Armor_Legs_Hunter.Armor_Legs_Hunter_C
Field Medic Overcoat,Body,Armor_Body_Medic_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Medic/Armor_Body_Medic.Armor_Body_Medic_C
Field Medic Gloves,Gloves,Armor_Gloves_Medic_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Medic/Armor_Gloves_Medic.Armor_Gloves_Medic_C
Field Medic Hat,Head,Armor_Head_Medic_C,summon /Game/World_Base/Items/Armor/Archetype_Starting/Medic/Armor_Head_Medic.Armor_Head_Medic_C
